0	1	2
113	78261	Online Learning: Beyond Regret 
113	78878	Demo - Control of an octopus arm using GPTD
113	83384	03-V POISSON-03 -Variable aleatoria Poisson
113	83912	FabricaciÃ³n de monumentos falleros I
113	85135	TCP/IP
113	86121	DistribuciÃ³n binomial
113	86639	BÃºsqueda de Jurisprudencia en la base de datos Westlaw
113	86818	03-V POISSON-04 -Variable aleatoria Poisson
113	87025	video_orden1_2
114	668	What Price Security?
114	15813	Pattern Based Knowledge Base Enrichment
114	17856	Descriptive modeling in social sciences
114	17969	Opening address
114	20643	Lecture 15: Numerical methods in estimation: recursive least squares and covariance matrix
114	23339	Lecture 12: Dispersion - Phase Velocity - Group Velocity
114	23354	Lecture 10: Exam 1 Review
114	27877	Euler Calculus and Topological Data Management
114	28566	Online Learning
114	72307	Metabolite identification and molecular fingerprint prediction via machine learning
114	74551	Endocytosis and Signaling: Competition of Rab Proteins
114	74584	Information Transfer in Calcium Signal Transduction
114	79296	Lecture 11: Fourier Analysis - Time Evolution of Pulses on Strings
114	79298	Lecture 10: Exam 1 Review
114	79353	Coordinate Descent Converges Faster with the Gauss-Southwell Rule Than Random Selection
114	79536	Lecture 12: Dispersion - Phase Velocity - Group Velocity
114	80770	What is cognitive science?
114	83825	Video prÃ¡cticio Estacionamiento y Lectura
114	83892	La libertad de expresion y la libertad de informacion en la constitucion espaÃ±ola
114	84300	DigitalizaciÃ³n vectorial con Autocad
114	84575	EspectroscopÃ­a de absorciÃ³n
114	84984	NormalizaciÃ³n de una disoluciÃ³n de permanganato de potasio con oxalato de sodio
114	85133	Turbobombas: el papel del rodete y su relaciÃ³n con las curvas teÃ³ricas de las maquinas
114	85486	DiseÃ±o hidrÃ¡ulico de una subunidad con emisores no compensantes: Caso prÃ¡ctico.
114	85501	Caso PrÃ¡ctico
114	85725	Fases del diseÃ±o de un sistema de Riego Localizado.
114	86924	ResoluciÃ³n de MÃ­nimos Cuadrados con MatLab
115	129	AAAI Awards and Recognition
115	11074	Celestial and Polycycle Graphs
115	14299	Web Mining
115	18207	CNTK - Microsoftâs open-source deep-learning toolkit
115	41014	Industrial uptake on the Cloud Panel
115	41501	The responsibility to respect human rights, due diligence and avoiding complicity
115	63142	Multi-regime models for the association between DNA copy number and gene expression
115	69726	Event-Enhanced Learning for Knowledge Graph Completion
115	72989	Workshop on semantic search - Microsearch: An Interface for Semantic Search
115	79958	Inducing Cross-Lingual Semantic Representations of Words, Phrases, Sentences and Events
115	81063	Machine Learning for Intrusion Detection
115	81740	Lock-Free Approaches to Parallelizing Stochastic Gradient Descent
115	83891	DiseÃ±o de un MÃ©todo de AnÃ¡lisis CalorimÃ©trico
115	83989	Tabla de contenido
115	84968	Marcadores moleculares basados en PCR: Marcadores RAPD.
115	84973	Marcadores de DNA basados en la PCR: AFLPs
115	84974	Marcadores moleculares basados en PCR: Marcadores SSR. Microsatelites
115	85380	Cultivo de anteras para la obtenciÃ³n de plantas haploides y doblehaploides
115	85740	Seales. Especificaciones
115	86132	BibliografÃ­a
115	86243	AnÃ¡lisis de Diagramas de Equilibrio. Insolubilidad Total en Estado SÃ³lido sin Afinidad entre Componentes
115	86268	ModulaciÃ³n FM de Banda ancha
115	86801	Uso de la herramienta RadioMobile.
115	87127	Sistemas de Nacimiento y Muerte para la estimacion de los valores de L y Lq en Teoria de Colas
115	88684	Miti in resnice o partnerskih odnosih
115	133602	Beyond the Semantic Web
115	134455	Fundamentals of data science
115	137274	Can matrix coherence be efficiently and accurately estimated?
115	137275	A Reduction of Imitation Learning and Structured Prediction to No-Regret Online Learning
115	137276	Finding Text Reuse on the Web
115	137278	Learning Concept Importance Using a Weighted Dependence Model
115	137279	Clustering the Tagged Web 
115	137280	Mining Billion-node Graphs: Patterns, Generators and Tools
115	137281	Efficient Indexing of Repeated n-Grams
115	137291	Human-Machine Cooperation: User Corrections for AKBC
115	137293	Ranking Mechanisms in Twitter-Like Forums
115	137294	Low-Pass Semantics
115	137296	Knowledge Base Construction with Epistemological Databases
115	137298	Aligning Sense Inventories in Wikipedia and Wordnet 
115	137299	ProbaMap: a scalable tool for discovering probabilistic mappings between taxonomies
115	137301	Combined Structured and Keyword-Based Search in Textually Enriched Entity-Relationship Graphs
115	137305	Optimizing Two-Dimensional Search Results Presentation
115	137306	Can Social Bookmarks Improve Web Search?
115	137307	On the Estimation of alpha-Divergences
115	137308	TopicFlow Model: Unsupervised Learning of Topic-specific Influences of Hyperlinked Documents
115	137311	Learning Scale Free Networks by Reweighted L1 regularization
115	137313	Concave Gaussian Variational Approximations for Inference in Large-Scale Bayesian Linear Models
115	137314	Modeling annotator expertise: Learning when everybody knows a bit of something
115	137315	Half transductive ranking 
115	137316	On the relation between universality, characteristic kernels and RKHS embedding of measures 
115	137317	Empirical Bernstein boosting
115	137318	Dense message passing for sparse principal component analysis
115	137319	Convex structure learning in log-linear models beyond pairwise potentials 
115	137320	Factored 3-way restricted Boltzmann machines for modeling natural images 
115	137321	REGO: Rank-based estimation of Renyi information using Euclidean graph optimization 
115	137322	Fluid dynamics models for low rank discriminant analysis
115	137323	Function class complexity and cluster structure with applications to transduction
115	137325	Contour Enhancement and Completion via Left Invariant Evolution Equations on SE(2)
115	137327	KM at the Customer Front-Line: The BT Case Study in ACTIVE
115	137328	Research Directions in Enterprise Knowledge Management
115	137329	Approximate inference for continuous time Markov processes
115	137330	Approximate system identification: Misfit versus latency
115	137331	An efficient approach to stochastic optimal control
115	137332	Exact simulation of jump diffusions
115	137333	MCMC schemes for partially observed diffusions - Some recent advances
115	137334	Gaussian process toolkit for modelling the dynamics of transcriptional regulation
115	137337	Density estimation of initial conditions for populations of dynamical systems
116	8561	Larger Residuals Less Work: Active Document Scheduling for Latent Dirichlet Allocation
116	14551	The Internet of Education: what role for education research?
116	28237	Behavioural Learning: Inspiration from Nature?
116	32279	Geography of Slovenia
116	65296	Lecture 1: The importance of chemical principles
116	65323	Learning Commonalities in SPARQL
116	68007	Kernel Tricks, Means and Ends
116	69362	Pose Machines: Articulated Pose Estimation via Inference Machines
116	70094	Semantic Concept Discovery Over Event Data
116	72060	RoboEarth: Connecting robots world-wide
116	78961	Session 2
116	79817	Not Your Typical CEO
116	83447	MÃ©todo Vectorial para la resoluciÃ³n de problemas de dinÃ¡mica del punto
116	84044	DinÃ¡mica del punto. Problema Inverso. Movimiento Circular Uniforme
116	84696	Seiton. La segunda de las 5S
116	85517	DinÃ¡mica del punto. Problema Inverso. Tiro ParabÃ³lico
116	85557	Seiso. La tercera de las 5S
116	85590	SelecciÃ³n con evaluaciÃ³n de descendencia
116	86205	CÃ¡lculo del flujo de un campo vectorial
116	87030	SelecciÃ³n masal en autogamas
116	88599	Empatija: razumeti, Äutiti drugega
116	89882	Vloga spanja in sanjanja pri Äustvovanju in kogniciji
117	11193	Sample-Based Planning for Continuous Action Markov Decision Processes
117	12872	Beam Sampling for the Infinite Hidden Markov Model
117	21322	Lecture 36: Biochemistry
117	25412	Innovation in Post-Launch Surveillance and Pharmaco-Vigilance (Part Two)
117	26782	Neuroscience, cognitive science and machine learning
117	28836	Random Matrices
117	29372	Random Matrices
117	38105	Semantic Construction Grammar - a meaning-centric approach to NL Understanding
117	38552	Lecture 29 - Island Biogeography and Invasive Species
117	70416	New advances in the genetics of melanoma: how can it contribute to personalized medicine?
117	70509	Introduction to CERN
117	71290	Lecture 22: Energy and power
117	71915	What have we learnt from living lab studies with AMCs in Healthcare?
117	72001	Theory and Application of Electrocorticographic (ECoG) Signals in Humans
117	73568	Gentle Introduction to Signal Processing and Classiï¬cation for Single-Trial EEG Analysis
117	81221	Graph Theory
117	84652	CimentaciÃ³n con Pilotes en EdificaciÃ³n
117	84850	Proceso de datos e interfaz de usuario. DiseÃ±o de interfaces de usuario
117	85060	Cada CuÃ¡nto Comprar. El cÃ¡lculo dle Periodo Ãptimo de Pedido
117	85167	Media Creta, implantaciÃ³n de un soporte flexible
117	85392	Entubado manual de pinturas artÃ­sticas
117	85927	Ensayos estadÃ­sticos para comparar las pendientes de 2 rectas de calibrado: Caso prÃ¡ctico para varianzas  homogÃ©neas.
117	86075	Caso de prÃ¡ctico de intercambiado en paredes cilÃ­ndricas
117	86534	Heijunka: En busca de la estabilidad
117	88334	Interview with Davor Orlic
117	88389	Interview with Marko Grobelnik
118	599	New Security Challenges
118	1063	The fourth dimension
118	14408	Lecture 15: Partial differential equations; review
118	14638	Roundtable Discussion: Logic, Concepts and Political Science: Problems, Challenges, Prospects
118	15044	Lecture 11: Differentials; chain rule
118	15312	Roundtable Discussion: Logic, Concepts and Political Science: Problems, Challenges, Prospects
118	15471	Lecture 7: Review
118	15715	Lecture 14: Non-independent variables
118	16062	Lecture 25: Triple integrals in rectangular and cylindrical coordinates
118	17618	Towards the What-If Machine
118	21365	Lecture 17: X-ray Spectra, Bragg's Law
118	23364	Lecture 9: Musical Instruments - Sound Cavities - Normal Modes
118	29531	The Fixed Points of Off-Policy TD
118	39334	Lecture 4 - Foundations: Skinner 
118	39895	Lecture 21: Gradient fields and potential functions
118	39935	Lecture 21: Gradient fields and potential functions
118	41301	Lecture 15: Partial differential equations; review
118	41537	Lecture 14: Non-independent variables
118	41681	Lecture 29: Divergence theorem (cont.): applications and proof
118	41722	Lecture 25: Triple integrals in rectangular and cylindrical coordinates
118	41778	Lecture 23: Flux; normal form of Green's theorem
118	69881	The Internet of Education: what role for education research?
118	76385	Statistical Predicate Invention
118	77081	Deep Learning for Domain Scaling of Conversational Agents
118	78230	Lecture 27: Vector fields in 3D; surface integrals and flux
118	78512	Bounded regret in stochastic multi-armed bandits
118	79879	The Fixed Points of Off-Policy TD
118	80046	Use of variance estimation in the multi-armed bandit problem
118	83761	Covarianza y correlaciÃ³n muestral
118	84477	La balanza de pagos
118	84504	Medidas que caracterizan una distribuciÃ³n de frecuencias
118	86191	Representaciones grÃ¡ficas. Histogramas de frecuencias
118	86753	Dibujo de la figura humana con linea y mancha de acuarela y tinta
118	86773	La contabilidad Nacional: El concepto de PIB
118	136308	Lecture 14: Competitive Analysis: Self-organizing
118	136625	Proximal Reinforcement Learning:  Learning to Act in Primal Dual Spaces
119	13585	Why Facebook Won't Get You Any More Friends
119	13984	Measuring User Influence on Twitter: The Million Follower Fallacy 
119	16898	Microscopic Evolution of Social Networks
119	19395	Numerical exploration-exploitation trade-off for large-scale function optimization
119	19801	Lecture 17: Finding Particular Solutions via Fourier Series; Resonant Terms; Hearing Musical Sounds
119	19845	Lecture 16: Continuation: More General Periods; Even and Odd Functions; Periodic Extension
119	19853	Lecture 13: Finding Particular Sto Inhomogeneous ODE's: Operator and Solution Formulas Involving Ixponentials
119	21029	Lecture 1: Introduction to Crystallography
119	23775	Lecture 36: Farewell Special, Bring a Friend!
119	31474	Robust PAC-Bayes Bounds
119	35496	An introduction to learning from data streams
119	41274	State of the Art in Data Stream Mining
119	63325	State of the Art in Data Stream Mining
119	66327	Models and Algorithms for Dynamic Networks
119	69920	The ProtÃ©gÃ© OWL Plugin: An Open Development Environment for Semantic Web Applications
119	71641	An introduction to learning from data streams
119	73478	Can matrix coherence be efficiently and accurately estimated?
119	73479	Online Variational Inference for the Hierarchical Dirichlet Process
119	73489	Half transductive ranking 
119	76788	Got Facebook? Investigating What's Social About Social Media 
119	78075	The Wisdom of Crowds: Best Practices for Data Prep & Machine Learning derived from Millions of Data Science Workflows
119	78157	Lifelong Machine Learning and Computer Reading the Web
119	78246	Lifelong Machine Learning and Computer Reading the Web
119	78247	Lifelong Machine Learning and Computer Reading the Web
119	78333	KDD 2017 Closing Session
119	79138	Lecture 2: Discrete source encoding
119	79825	The strength of evidence versus the power of belief: Are we all Bayesians?
119	80571	Machine Learning on Distributions
119	84279	GenÃ©tica cuantitativa
119	85015	RecolecciÃ³n del cultivo de la chufa en Valencia
119	86054	Comparative and Superlative of Adjetives
119	86134	Probabilidad 3
119	90004	Skok na drugo stran, kjer me z odprtimi rokami Äaka zadovoljstvo! Zadovoljstvo je izbira, ne posledica.
120	826	Practical Applications of Permutation Tests
120	983	Mixed Cumulative Distribution Networks
120	1731	Knowledge Representation and Reasoning - Discussion
120	2113	Beyond Search - Computational Intelligence for the Web - Introduction
120	2114	Search Query Disambiguation from Short Sessions
120	2184	Online Search and Advertising, Future and Present
120	2621	Macroscopic Modeling of Traffic in Congested Cities: Empirical Evidence, Analytical Derivations and Control Applications
120	3864	Learning to Link with Wikipedia
120	6279	The current trends and future challenges in the Logistics sector
120	8623	Logic in Action
120	8702	Logic in Games
120	8821	Many Faces of Text Processing
120	9213	Bridging the Structured Un-Structured Gap
120	21294	Lecture 14: Introduction to the Solid State, the 7 Crystal Systems, the 14 Bravais Lattices
120	22259	Lecture 23: Advanced Topics (cont.)
120	25924	Oil, Security, Environment, Technology - The Segway Alternative
120	29338	Exact inference and learning for cumulative
120	37004	Automating News Content Analysis: An Application to Gender Bias and Readability
120	37220	Semantic Technology for online, broadcast and print media
120	37681	Smart Grids and WSN in Slovenia
120	64420	Bridging the Structured Un-Structured Gap
120	64977	Beyond Search - Computational Intelligence for the Web - Introduction
120	67336	Lecture 15: Properties of Cubic Crystals: Simple Cubic, Face-centered Cubic, Body-centered Cubic, Diamond Cubic - Crystal Coordinate Systems, Miller Indices
120	69256	Smart Grids and WSN in Slovenia
120	71046	The current trends and future challenges in the Logistics sector
120	71697	Application of the Cross-Correlation Technique to Evaluate Profile Data
120	71812	Mixed Cumulative Distribution Networks
120	73833	Collective Wisdom: Information Growth in Wikis and Blogs
120	79654	Meme-tracking and the dynamics of the news cycle
120	80471	Exact inference and learning for cumulative
120	81456	A Gaussian Process View on MKL
120	82055	Mesostructure-performance relationships in batteries and fuel cells : challenging the dogma with multiscale computations and immersive visualization
120	83766	GestiÃ³n de asientos en contaplus
120	83905	DiseÃ±o y cÃ¡lculo de las bases de soportes en tracciÃ³n
120	84230	Copias de seguridad en contaplus
120	84925	Definir atributos de bloques
120	86214	Congruencias de nÃºmeros enteros: La prueba del 9
120	87100	Diagramas de radiaciÃ³n.
120	134547	Meritve Ärnega ogljika, globalnega povzroÄitelja podnebnih sprememb in lokalnega onesnaÅ¾evala zraka
120	137287	Building with wood
121	4706	Faster and Sample Near-Optimal Algorithms for Proper Learning Mixtures of Gaussians
121	5475	Professor Forcing: A New Algorithm for Training Recurrent Networks
121	5476	Zoneout: Regularizing RNNs by Randomly Preserving Hidden Activations
121	10248	Lecture 14 - The Germ Theory of Disease
121	10661	Lecture 16 - Malaria (I): The Case of Italy
121	10690	Lecture 15 - Tropical Medicine as a Discipline
121	15023	Life Expectancy In Developed Countries May Grow Much Higher Than Anticipated Even If Mortality Conditions Stay Constant
121	15155	Internals of an Aggregated Web News Feed
121	22419	Lecture 7: Genetics 2
121	22459	Chapter 8: Magnetoquasistatic fields: superposition integral and boundary value points of view
121	23215	Lecture 14: Protein Localization
121	25704	The Six Webs, 10 Years On
121	28037	Models and theories in cognitive science (Part 2)
121	28039	Models of Human decision-making
121	28271	Convex Optimization
121	28376	Gaussian Process: Practical Course
121	28778	Convex Optimization  
121	29035	Mining Networks through Visual Analytics:
121	31269	Technology and Combinatorial Evolution
121	38978	Lecture 17 - Malaria (II): The Global Challenge
121	66673	Networks through a Quantum Lens
121	68958	Introduction to Complexity Science
121	71486	Gaussian Process: Practical Course
121	73159	Systems with General Intelligence: A New Perspective
121	76206	Fast Track Interreg project(B3 - Regions for Better BroadBand Connection)
121	77734	Fast Query Execution for Retrieval Models Based on Path-Constrained Random Walks
121	77741	Data Mining with Differential Privacy
121	77768	Topic Dynamics: An Alternative Model of Bursts in Streams of Topics
121	77771	Data Mining to Predict and Prevent Errors in Health Insurance Claims Processing
121	77776	Consensus Group Stable Feature Selection
121	77779	Learning Optimal Ranking with Tensor Factorization for Tag Recommendation
121	77802	TANGENT: A Novel, 'Surprise-me' Recommendation Algorithm
121	78061	DeepWalk: Online Learning of Social Representations
121	80752	Convex Optimization  
121	81129	Learning concept graphs from text with stick-breaking priors
121	81130	SpikeAnts, a spiking neuron network modelling the emergence of organization in a complex system
121	81156	Kernel Descriptors for Visual Recognition
121	83425	SLEPc: Compiling and running programs
121	85121	UER R128 Normalizacion por sonoridad.
121	85671	Analisis amplificadores MOSFET.
121	85676	Espectro electromagnetico
121	85786	SLEPc : Viewing the solution
121	86476	AnÃ¡lisis de Agrupaciones - MÃ©todo GrÃ¡fico
121	87101	DiseÃ±o de Algoritmos Paralelos: Agrupamiento y ReplicaciÃ³n
121	88407	Observers and IPR issues (copyright)
121	88408	International Alliance for Lexicography
121	88474	Synthetic maps for navigating high-dimensional data spaces
121	88476	Tritium measurement by LSC
121	88478	Preparation of samples for tritium measurements by LSC
121	134688	Seven Rules of Thumb for Web Site Experimenters
122	5614	Introduction to Theano
122	12378	Lecture 25 - Suicide, Part II: Deciding under uncertainty
122	17824	How Machine Learning has Finally Solved Wanamakerâs Dilemma
122	18066	Award Ceremony
122	19622	Lecture 4: Systematic Generation of Incremental Improvements to Existing Products and Services, Traditional Marketing Research Concept Generation Techniques
122	27473	Inference in Graphical Models
122	29976	Hierarchical-Dirichlet-Process-based Hidden Markov Models
122	34953	Group Theory in Machine Learning
122	39136	Lecture 24 - Suicide, Part I: The rationality of suicide
122	63207	Game Theory for Security: Key Algorithmic Principles, Deployed Applications, Research Challenges
122	63349	AI that Creates Professional Opportunities at Scale
122	63473	Coarse-to-Fine Auto-encoder Networks (CFAN) for Real-time Face Alignment
122	63499	Learning Design for Post-Secondary Courses using SDGs
122	63527	CNN Image Retrieval Learns from BoW: Unsupervised Fine-Tuning with Hard Examples
122	63692	Order-Embeddings of Images and Language
122	64864	Baseline Methods for Automated Fictional Ideation
122	65068	RELIN: Relatedness and Informativeness-based Centrality for Entity Summarization
122	65568	Humans Learn Using Manifolds, Reluctantly
122	68489	"Lecture 2: Systematic Generation of Ideas for ""Breakthrough"" New Products and Services - the ""Lead User Method"""
122	68771	Inferring structure from data
122	74265	MalStone: Towards a Benchmark for Analytics on Large Data Clouds
122	74378	Lecture 28: Similar Matrices and Jordan Form
122	77386	Modulation of Cortical Excitability by Detection of Motor Intention and Artificial Afferent Feedback
122	78950	Ontology-Driven Unified Governance in Software Engineering: The PoolParty case study
122	82067	Visualising the Cluster Structure of Data Streams
122	83090	Distribuciones de frecuencias unidimensionales
122	85603	MÃ©todo estructural en el CTE. MÃ©todo de los Estados Limite
122	86834	Acciones horizontales equivalentes a las imperfecciones en pÃ³rticos de acero.
122	87556	Scalable Similarity Search with Optimized Kernel Hashing
122	87560	Mining Positive and Negative Patterns for Relevance Feature Discovery
122	87564	Diagnosing Memory Leaks using Graph Mining on Heap Dumps
122	87662	Semi-Supervised Sparse Metric Learning Using Alternating Linearization Optimization
123	62	Reconsidering Hope: An Ordinary Architecture For an Extra Ordinary Urbanism
123	506	Computational Creativity in Music and Music Cognition
123	1212	Computational Creativity in Literary Artifacts: Narrative and Poetry
123	1322	Computational Creativity in Literary Artifacts: Narrative and Poetry
123	9222	Distinguishing Between Instances and Classes in the Wikipedia Taxonomy
123	9223	Hybrid Reasoning with Simple Forest Logic Programs
123	9225	The Web of Data for E-Commerce in One Day: A Hands-on Introduction to the GoodRelations Ontology, RDFa, and Yahoo! SearchMonkey
123	13863	Content Based Recommendation and Summarization in the Blogosphere 
123	14536	Introduction to Cosmology - Theoretical Physics - Introductory Lecture
123	14948	Scalable Link Mining and Analysis on Information Networks
123	18041	Deep Crossing: Web-Scale Modeling without Manually Crafted Combinatorial Features
123	19852	Lecture 5: First-order Autonomous ODE's: Qualitative Methods, Applications
123	24686	September 11th and the City / Urban Trauma and the Resilience of Cities
123	29590	The Kernel Beta Process
123	32695	From Kernels to Causality
123	33379	Technological challenges of Big-Data
123	68990	Computational advertising: business models, technologies and issues (CoAd)
123	69087	Technological challenges of Big-Data
123	69372	Mining Diverse Views from Related Articles
123	71685	Research Data Management Planning
123	72559	Semantic Challenges in Getting Work Done
123	78465	Bayesian Optimization in a Billion Dimensions via Random Embeddings
123	78679	Emerging DaaS business models: A case study
123	79062	Air Revert
123	80126	The Kernel Beta Process
123	81634	Semantically Enhanced Quality Assurance in the JURION Business Use Case
123	81896	Towards Global Abolition of the Death Penalty: Progress and Prospects
123	82390	Computational advertising: business models, technologies and issues (CoAd)
123	82400	Computational advertising: business models, technologies and issues (CoAd)
123	82610	Big Data, Data Protection and Citizen Empowerment
123	83041	IntroducciÃ³n a la estructura de materiales compuestos
123	83351	SeÃ±ales PeriÃ³dicas
123	83353	OptimizaciÃ³n del comportamiento de materiales polimÃ©ricos. ModificaciÃ³n superficial de polÃ­meros.
123	83405	IsomerÃ­a Cis-Trans
